,across,within,Subject,R,Sample rate,Samples,Thresholded Electrodes,Sessions,Number thresholded,Total Time (hrs),Average Session Length (hrs),Total Electrodes,Proportion Thresholded
3233,0.23686603102104944,0.2863509422068071,19,[-45.45 -72.43 -19.68],256.0,2357248,63,4.0,8,2.558,0.64,71,0.113
3234,0.3999058876530015,0.06506205255936663,56,[ 35.35  25.38 -37.87],1000.0,9938000,101,5.0,9,2.761,0.552,110,0.082
3235,0.6961999103807921,0.3131803234638679,14,[-1.01 30.48 10.31],256.0,1652585,113,2.0,15,1.793,0.896,128,0.117
3236,0.68608175311776,0.33395360789256096,2,[ 57.58 -24.3  -10.94],250.0,1358998,43,2.0,53,1.51,0.755,96,0.552
3237,0.5667840733299544,0.353552344185253,42,[ 5.152e+01 -5.000e-02 -2.265e+01],400.0,1032800,53,1.0,3,0.717,0.717,56,0.054
3238,0.3701035412034703,0.2604533419986748,57,[ 13.13  45.82 -33.11],1000.0,6361000,78,2.0,18,1.767,0.884,96,0.188
3239,0.6217225106832924,0.08435952407510698,42,[-38.38 -11.43 -22.11],400.0,1032800,53,1.0,3,0.717,0.717,56,0.054
3240,0.6652022725405372,0.22179087225298688,49,[  6.06  52.66 -24.37],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
3241,0.3637637952746328,-0.2723654501067847,45,[-34.34  66.92   3.53],400.0,847200,124,1.0,2,0.588,0.588,126,0.016
3242,0.3145500287523459,0.3988474758522637,54,[-45.45  42.52  17.48],1000.0,12880000,86,3.0,20,3.578,1.193,106,0.189
3243,0.1903101990335989,0.2683802928156169,58,[ 27.27  -8.34 -45.77],1000.0,15728000,64,5.0,36,4.369,0.874,100,0.36
3244,0.5223689026039139,0.19262195326661954,53,[59.6   4.99  3.53],1000.0,4104000,78,1.0,12,1.14,1.14,90,0.133
3245,0.7929134055685993,0.8814536917816647,36,[-24.24 -28.52  -8.8 ],256.0,1075200,42,2.0,20,1.167,0.584,62,0.323
3246,0.4986205331366436,0.2933061711685736,6,[ 49.49 -10.76 -13.73],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
3247,0.270206704635259,-0.2912402386029205,17,[-45.45  11.58  38.7 ],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
3248,0.459987387604076,0.004721611575067233,10,[-16.16   5.51 -31.86],256.0,1336064,68,1.0,4,1.45,1.45,72,0.056
3249,0.2275147357805652,0.0920163346294531,49,[-55.56  28.    18.89],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
3250,0.5019440041486082,0.5482766630731111,18,[-44.44 -96.01   0.37],256.0,1322752,77,2.0,7,1.435,0.718,84,0.083
3251,0.8175324413866447,0.596549501150119,8,[-58.59  -5.1   20.41],256.0,1586419,121,2.0,2,1.721,0.86,123,0.016
3252,0.3672639164181338,-0.35466585411560586,17,[-11.11  40.31  42.39],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
3253,0.02112403639975048,0.2876942338408219,63,[ 37.37 -40.87 -33.35],400.0,3776377,53,4.0,9,2.622,0.656,62,0.145
3254,0.5307553242954705,0.3746211595346137,50,[-37.37  50.09  32.03],2000.0,12000000,56,1.0,7,1.667,1.667,63,0.111
3255,0.6895291548242846,0.5807910025034146,57,[ 22.22  48.65 -26.99],1000.0,6361000,78,2.0,18,1.767,0.884,96,0.188
3256,0.3060153903733647,0.025801539238230302,46,[ 53.54 -11.63 -41.2 ],400.0,5446000,55,4.0,25,3.782,0.946,80,0.312
3257,0.1715083143258284,0.3019054380932533,60,[-43.43 -78.97 -11.72],1000.0,8817000,80,2.0,16,2.449,1.224,96,0.167
3258,0.7268799405550144,0.3198392638484425,21,[ 63.64 -39.95  15.3 ],512.0,527360,58,1.0,27,0.286,0.286,85,0.318
3259,0.34463487748743404,0.1795465114593497,18,[-14.14  76.19   4.02],256.0,1322752,77,2.0,7,1.435,0.718,84,0.083
3260,0.4409157023789573,0.07291045874758784,51,[-4.04 60.59 28.23],1000.0,6000000,137,1.0,23,1.667,1.667,160,0.144
3261,0.3143451209078125,0.3253812653388771,9,[50.51 45.61 17.64],256.0,2132722,80,4.0,24,2.314,0.578,104,0.231
3262,0.7728497458812253,0.5510334043054482,40,[-71.72 -27.85 -24.26],400.0,11744000,41,3.0,21,8.156,2.719,62,0.339
3263,0.1928992327406441,0.7737901131741611,17,[ -1.01 -21.11  31.53],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
3264,0.4921544178427887,0.2787236764967094,66,[ 76.77 -10.3   -0.54],512.0,3409920,68,2.0,12,1.85,0.925,80,0.15
3265,0.4553445612358355,0.3831901525663366,6,[ 24.24 -53.59  63.56],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
3266,0.3649995128152981,0.3560216631900752,34,[ 68.69 -21.52 -27.47],1024.0,4300800,45,2.0,11,1.167,0.584,56,0.196
3267,0.7213756631611106,0.4069050535379837,46,[ 49.49 -75.78  30.82],400.0,5446000,55,4.0,25,3.782,0.946,80,0.312
3268,0.5442574149848826,0.14864373730194272,4,[-45.45  13.95 -12.3 ],256.0,2486697,60,3.0,4,2.698,0.899,64,0.062
3269,0.2731221990070649,0.13217507745625892,6,[ 19.19  23.53 -18.9 ],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
3270,0.7390149747922405,0.6327235139182983,52,[ 73.74 -45.3   19.37],1000.0,14400000,82,2.0,16,4.0,2.0,98,0.163
3271,0.6083908124979747,0.2295074143287465,49,[ 32.32  33.87 -19.5 ],500.0,5400000,123,1.0,37,3.0,3.0,160,0.231
3272,0.7532864901990343,0.514679708832975,1,[-22.22  -9.73 -37.51],499.907,2280995,28,1.0,12,1.267,1.267,40,0.3
3273,0.4343947377294985,0.3311183402601743,40,[-63.64 -60.13   5.53],400.0,11744000,41,3.0,21,8.156,2.719,62,0.339
3274,0.3898572879621561,0.3176521146589173,38,[-26.26  68.47  -7.96],256.0,1305603,68,3.0,14,1.417,0.472,82,0.171
3275,0.5028051125869061,0.0725324145169416,6,[ 35.35   9.73 -10.16],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
3276,0.3580690664665221,0.4280183431235358,34,[-26.26   6.75 -36.56],1024.0,4300800,45,2.0,11,1.167,0.584,56,0.196
3277,0.3876659909957639,0.3540393155142271,9,[68.69 -9.01 -6.48],256.0,2132722,80,4.0,24,2.314,0.578,104,0.231
3278,0.9720666939360708,0.2597920681738541,62,[ 34.34 -10.04  -6.54],400.0,20458800,54,6.0,33,14.208,2.368,87,0.379
3279,0.5386270042486699,0.534913950246944,57,[ 23.23 -46.85  73.71],1000.0,6361000,78,2.0,18,1.767,0.884,96,0.188
3280,0.5713158568398795,0.5270636141016125,55,[ 2.02 65.43 -9.33],1000.0,14711000,102,4.0,18,4.086,1.022,120,0.15
3281,0.4520255905509604,0.2615642504738679,16,[46.46 28.31 12.38],256.0,1010176,118,2.0,7,1.096,0.548,125,0.056
3282,0.2002873096289396,0.011587261340761936,45,[-31.31  -4.07 -25.27],400.0,847200,124,1.0,2,0.588,0.588,126,0.016
3283,0.3914309144788375,0.03378212433505103,56,[ 53.54 -75.67 -16.29],1000.0,9938000,101,5.0,9,2.761,0.552,110,0.082
3284,0.5875079918927805,0.3441788773951255,6,[ 60.61 -43.19  -3.69],256.0,2483968,105,4.0,23,2.695,0.674,128,0.18
3285,0.40220426583580665,0.4140083988595976,33,[47.47 34.28 38.81],1024.0,4915200,35,2.0,29,1.333,0.666,64,0.453
3286,0.4324211787466491,0.13917740668121995,38,[-27.27  12.67 -54.1 ],256.0,1305603,68,3.0,14,1.417,0.472,82,0.171
3287,0.0394391111516424,0.7990850858574818,34,[-26.26 -28.36 -12.37],1024.0,4300800,45,2.0,11,1.167,0.584,56,0.196
